PCON24CD,PCON24NM,HAR name,MP,Party short,Party,ID,BG,Type,Type,Type,Type,Type,Type,Type
,,,,,,,,All,Archaeology,Battlefield,Building or structure,Conservation area,Park and garden,Place of worship
---,---,---,---,---,---,---,---,---,---,---,---,---,---
E14001063,Aldershot,Aldershot,Alex Baker,Lab,Labour,5173,#d50000,3,0,0,2,0,0,1
E14001064,Aldridge-Brownhills,Aldridge-Brownhills,Wendy Morton,Con,Conservative,4358,#0063ba,1,0,0,0,0,1,0
E14001065,Altrincham and Sale West,Altrincham and Sale West,Connor Rand,Lab,Labour,5159,#d50000,1,0,0,0,1,0,0
E14001066,Amber Valley,Amber Valley,Linsey Farnsworth,Lab,Labour,5107,#d50000,5,1,0,4,0,0,0
E14001067,Arundel and South Downs,Arundel and South Downs,Andrew Griffith,Con,Conservative,4874,#0063ba,13,5,0,2,1,1,4
E14001068,Ashfield,Ashfield,Lee Anderson,Ref,Ref,4743,#12b6cf,3,1,0,0,1,1,0
E14001069,Ashford,Ashford,Sojan Joseph,Lab,Labour,5247,#d50000,7,4,0,1,0,0,2
E14001070,Ashton-under-Lyne,Ashton-under-Lyne,Angela Rayner,Lab,Labour,4356,#d50000,5,0,0,1,0,0,4
E14001071,Aylesbury,Aylesbury,Laura Elizabeth Kyrke-Smith,Lab,Labour,5341,#d50000,7,0,0,3,0,2,2
E14001072,Banbury,Banbury,Sean Woodcock,Lab,Labour,5328,#d50000,7,2,0,1,2,0,2
E14001073,Barking,Barking,Nesil Caliskan,Lab,Labour,5180,#d50000,1,1,0,0,0,0,0
E14001074,Barnsley North,Barnsley North,Dan Jarvis,Lab,Labour,4243,#d50000,3,1,0,1,0,0,1
E14001075,Barnsley South,Barnsley South,Stephanie Peacock,Lab,Labour,4607,#d50000,4,2,0,0,1,0,1
E14001076,Barrow and Furness,Barrow and Furness,Michelle Scrogham,Lab,Labour,5049,#d50000,20,11,0,4,3,0,2
E14001077,Basildon and Billericay,Basildon and Billericay,Richard John Holden,Con,Conservative,4813,#0063ba,0,0,0,0,0,0,0
E14001078,Basingstoke,Basingstoke,Luke Murphy,Lab,Labour,5248,#d50000,0,0,0,0,0,0,0
E14001079,Bassetlaw,Bassetlaw,Jo White,Lab,Labour,5105,#d50000,18,1,0,8,2,1,6
E14001080,Bath,Bath,Wera Hobhouse,LD,Liberal Democrat,4602,#faa01a,5,3,0,2,0,0,0
E14001081,Battersea,Battersea,Marsha de Cordova,Lab,Labour,4676,#d50000,2,0,0,2,0,0,0
E14001082,Beaconsfield,Beaconsfield,Joy Morrissey,Con,Conservative,4759,#0063ba,0,0,0,0,0,0,0
E14001083,Beckenham and Penge,Beckenham and Penge,Liam Conlon,Lab,Labour,5132,#d50000,7,0,0,5,0,1,1
E14001084,Bedford,Bedford,Mohammad Yasin,Lab,Labour,4598,#d50000,2,0,0,0,1,0,1
E14001085,Bermondsey and Old Southwark,Bermondsey and Old Southwark,Neil Coyle,Lab,Labour,4368,#d50000,10,1,0,7,0,0,2
E14001086,Bethnal Green and Stepney,Bethnal Green and Stepney,Rushanara Ali,Lab,Labour,4138,#d50000,15,1,0,8,3,0,3
E14001087,Beverley and Holderness,Beverley and Holderness,Graham Stuart,Con,Conservative,1482,#0063ba,24,20,0,2,0,0,2
E14001088,Bexhill and Battle,Bexhill and Battle,Kieran Mullan,Con,Conservative,4860,#0063ba,3,1,0,1,0,0,1
E14001089,Bexleyheath and Crayford,Bexleyheath and Crayford,Daniel Francis,Lab,Labour,5184,#d50000,1,0,0,1,0,0,0
E14001090,Bicester and Woodstock,Bicester and Woodstock,Calum Miller,LD,Liberal Democrat,5346,#faa01a,6,2,0,1,1,0,2
E14001091,Birkenhead,Birkenhead,Alison McGovern,Lab,Labour,4083,#d50000,5,0,0,1,3,1,0
E14001092,Birmingham Edgbaston,Birmingham Edgbaston,Preet Kaur Gill,Lab,Labour,4603,#d50000,2,0,0,1,1,0,0
E14001093,Birmingham Erdington,Birmingham Erdington,Paulette Hamilton,Lab,Labour,4938,#d50000,0,0,0,0,0,0,0
E14001094,Birmingham Hall Green and Moseley,Birmingham Hall Green and Moseley,Tahir Ali,Lab,Labour,4747,#d50000,5,0,0,2,1,1,1
E14001095,Birmingham Hodge Hill and Solihull North,Birmingham Hodge Hill and Solihull North,Liam Byrne,Lab,Labour,1171,#d50000,1,1,0,0,0,0,0
