PCON10CD,Name,MP,Party short,Party,Type,Type,Type,Type,Type,Type,Type
E14000577,Bolsover,Mark Fletcher,Con,Conservative,7,2,0,2,3,0,0
E14000578,Bolton North East,Mark Logan,Con,Conservative,4,0,0,0,0,0,4
E14000579,Bolton South East,Yasmin Qureshi,Lab,Labour,3,0,0,1,0,0,2
E14000580,Bolton West,Chris Green,Con,Conservative,1,0,0,0,0,0,1
E14000581,Bootle,Peter Dowd,Lab,Labour,2,0,0,0,2,0,0
E14000582,Boston and Skegness,Matt Warman,Con,Conservative,15,1,0,4,5,0,5
E14000583,Bosworth,Luke Evans,Con,Conservative,4,0,0,0,3,0,1
E14000584,Bournemouth East,Tobias Ellwood,Con,Conservative,4,1,0,0,1,0,2
E14000585,Bournemouth West,Conor Burns,Con,Conservative,3,1,0,0,0,0,2
E14000586,Bracknell,James Sunderland,Con,Conservative,1,0,0,0,0,1,0
E14000587,Bradford East,Imran Hussain,Lab,Labour,5,0,0,1,2,0,2
E14000588,Bradford South,Judith Cummins,Lab,Labour,1,0,0,0,1,0,0
E14000589,Bradford West,Naz Shah,Lab,Labour,14,0,0,2,9,0,3
E14000590,Braintree,James Cleverly,Con,Conservative,4,1,0,1,1,0,1
E14000591,Brent Central,Dawn Butler,Lab,Labour,5,0,0,1,0,1,3
E14000592,Brent North,Barry Gardiner,Lab,Labour,3,0,0,3,0,0,0
E14000593,Brentford and Isleworth,Ruth Cadbury,Lab,Labour,17,0,0,14,2,1,0
E14000594,Brentwood and Ongar,Alex Burghart,Con,Conservative,9,1,0,4,0,1,3
E14000595,Bridgwater and West Somerset,Ian Liddell-Grainger,Con,Conservative,41,24,0,4,0,2,11
E14000596,Brigg and Goole,Andrew Percy,Con,Conservative,12,4,0,1,2,0,5
E14000597,"Brighton, Kemptown",Lloyd Russell-Moyle,Lab,Labour,5,0,0,2,2,0,1
E14000598,"Brighton, Pavilion",Caroline Lucas,Green,Green,10,0,0,3,3,2,2
E14000599,Bristol East,Kerry McCarthy,Lab,Labour,2,0,0,0,0,2,0
E14000600,Bristol North West,Darren Jones,Lab,Labour,5,1,0,1,0,1,2
E14000601,Bristol South,Karin Smyth,Lab,Labour,1,0,0,1,0,0,0
E14000602,Bristol West,Thangam Debbonaire,Lab,Labour,7,2,0,3,1,0,1
E14000603,Broadland,Jerome Mayhew,Con,Conservative,13,1,0,5,2,0,5
E14000604,Bromley and Chislehurst,Bob Neill,Con,Conservative,7,1,0,6,0,0,0
E14000605,Bromsgrove,Sajid Javid,Con,Conservative,8,1,0,2,1,1,3
E14000606,Broxbourne,Charles Walker,Con,Conservative,4,2,0,0,2,0,0
E14000607,Broxtowe,Darren George Henry,Con,Conservative,6,1,0,3,2,0,0
E14000608,Buckingham,Greg Smith,Con,Conservative,15,2,0,6,0,1,6
E14000609,Burnley,Antony Higginbotham,Con,Conservative,4,0,0,4,0,0,0
E14000610,Burton,Kate Griffiths,Con,Conservative,1,0,0,1,0,0,0
E14000611,Bury North,James Daly,Con,Conservative,5,0,0,1,2,0,2
E14000612,Bury South,Christian Wakeford,Con,Conservative,1,0,0,0,0,0,1
E14000613,Bury St. Edmunds,Jo Churchill,Con,Conservative,8,2,0,5,0,0,1
E14000614,Calder Valley,Craig Whittaker,Con,Conservative,14,3,0,7,1,0,3
E14000615,Camberwell and Peckham,Harriet Harman,Lab,Labour,17,0,0,14,1,1,1
E14000616,Camborne and Redruth,George Eustice,Con,Conservative,19,10,0,7,0,0,2
E14000617,Cambridge,Daniel Zeichner,Lab,Labour,2,0,0,1,0,0,1
E14000618,Cannock Chase,Amanda Milling,Con,Conservative,0,0,0,0,0,0,0
E14000619,Canterbury,Rosie Duffield,Lab,Labour,9,4,0,5,0,0,0
E14000620,Carlisle,John Stevenson,Con,Conservative,3,1,0,0,2,0,0
E14000621,Carshalton and Wallington,Elliot Colburn,Con,Conservative,6,0,0,5,0,0,1
E14000622,Castle Point,Rebecca Harris,Con,Conservative,0,0,0,0,0,0,0
E14000623,Central Devon,Mel Stride,Con,Conservative,54,44,0,2,2,0,6
E14000624,Central Suffolk and North Ipswich,Daniel Poulter,Con,Conservative,18,1,0,10,0,1,6
E14000625,Charnwood,Edward Argar,Con,Conservative,5,1,0,2,0,0,2
E14000626,Chatham and Aylesford,Tracey Crouch,Con,Conservative,2,1,0,0,0,0,1
E14000627,Cheadle,Mary Robinson,Con,Conservative,1,0,0,1,0,0,0
E14000628,Chelmsford,Vicky Ford,Con,Conservative,1,0,0,0,1,0,0
E14000629,Chelsea and Fulham,Greg Hands,Con,Conservative,4,0,0,3,0,0,1
E14000630,Cheltenham,Alex Chalk,Con,Conservative,3,0,0,0,0,0,3
E14000631,Chesham and Amersham,Sarah Green,LD,Liberal Democrat,2,0,0,2,0,0,0
E14000632,Chesterfield,Toby Perkins,Lab,Labour,4,0,0,3,0,0,1
E14000633,Chichester,Gillian Keegan,Con,Conservative,14,10,0,3,1,0,0
E14000634,Chingford and Woodford Green,Iain Duncan Smith,Con,Conservative,4,0,0,3,0,0,1
E14000635,Chippenham,Michelle Donelan,Con,Conservative,3,1,0,0,0,0,2
E14000636,Chipping Barnet,Theresa Villiers,Con,Conservative,1,0,0,0,0,0,1
E14000637,Chorley,Lindsay Hoyle,Spk,Speaker,3,1,0,1,0,0,1
E14000638,Christchurch,Christopher Chope,Con,Conservative,8,8,0,0,0,0,0
E14000639,Cities of London and Westminster,Nickie Aiken,Con,Conservative,16,0,0,8,0,0,8
E14000640,City of Chester,Samantha Dixon,Lab,Labour,4,2,0,1,0,0,1
E14000641,City of Durham,Mary Foy,Lab,Labour,10,1,0,8,0,1,0
E14000642,Clacton,Giles Watling,Con,Conservative,9,0,0,4,4,0,1
E14000643,Cleethorpes,Martin Vickers,Con,Conservative,12,7,0,3,1,0,1
E14000644,Colchester,Will Quince,Con,Conservative,3,1,0,2,0,0,0
E14000645,Colne Valley,Jason McCartney,Con,Conservative,8,1,0,5,0,0,2
E14000646,Congleton,Fiona Bruce,Con,Conservative,7,1,0,2,2,0,2
E14000647,Copeland,Trudy Harrison,Con,Conservative,21,12,0,4,1,0,4
E14000648,Corby,Tom Pursglove,Con,Conservative,12,1,0,5,0,0,6
E14000649,Coventry North East,Colleen Fletcher,Lab,Labour,0,0,0,0,0,0,0
E14000650,Coventry North West,Taiwo Owatemi,Lab,Labour,2,1,0,0,1,0,0
E14000651,Coventry South,Zarah Sultana,Lab,Labour,8,0,0,3,2,1,2
E14000652,Crawley,Henry Smith,Con,Conservative,0,0,0,0,0,0,0
E14000653,Crewe and Nantwich,Kieran John Mullan,Con,Conservative,6,1,0,4,0,1,0
E14000654,Croydon Central,Sarah Jones,Lab,Labour,6,0,0,4,1,0,1
E14000655,Croydon North,Steve Reed,Lab,Labour,4,0,0,1,1,0,2
E14000656,Croydon South,Chris Philp,Con,Conservative,4,1,0,1,0,0,2
E14000657,Dagenham and Rainham,Jon Cruddas,Lab,Labour,6,0,0,5,1,0,0
E14000658,Darlington,Peter Gibson,Con,Conservative,4,0,0,1,2,0,1
E14000659,Dartford,Gareth Johnson,Con,Conservative,2,2,0,0,0,0,0
E14000660,Daventry,Chris Heaton-Harris,Con,Conservative,16,4,0,8,0,0,4
E14000661,Denton and Reddish,Andrew Gwynne,Lab,Labour,5,0,0,3,0,0,2
E14000662,Derby North,Amanda Solloway,Con,Conservative,3,0,0,3,0,0,0
E14000663,Derby South,Margaret Beckett,Lab,Labour,1,0,0,0,0,0,1
E14000664,Derbyshire Dales,Sarah Elizabeth Dines,Con,Conservative,10,3,0,2,0,0,5
E14000665,Devizes,Danny Kruger,Con,Conservative,63,54,0,6,0,1,2
E14000666,Dewsbury,Mark Eastwood,Con,Conservative,5,2,0,1,0,0,2
E14000667,Don Valley,Nicholas Fletcher,Con,Conservative,9,5,0,1,2,0,1
E14000668,Doncaster Central,Rosie Winterton,Lab,Labour,4,0,0,0,2,0,2
E14000669,Doncaster North,Ed Miliband,Lab,Labour,12,4,0,1,3,0,4
E14000670,Dover,Natalie Elphicke,Con,Conservative,11,1,0,5,3,0,2
E14000671,Dudley North,Marco Longhi,Con,Conservative,4,1,0,0,0,0,3
E14000672,Dudley South,Mike Wood,Con,Conservative,5,0,0,3,2,0,0
E14000673,Dulwich and West Norwood,Helen Hayes,Lab,Labour,10,0,0,8,1,0,1
E14000674,Ealing Central and Acton,Rupa Huq,Lab,Labour,7,0,0,2,3,1,1
E14000675,Ealing North,James Murray,Lab,Labour,4,1,0,2,1,0,0
E14000676,"Ealing, Southall",Virendra Sharma,Lab,Labour,5,1,0,3,1,0,0
E14000677,Easington,Grahame Morris,Lab,Labour,1,0,0,0,1,0,0
E14000678,East Devon,Simon Jupp,Con,Conservative,7,2,0,3,0,1,1
E14000679,East Ham,Stephen Timms,Lab,Labour,8,0,0,8,0,0,0
E14000680,East Hampshire,Damian Hinds,Con,Conservative,7,6,0,1,0,0,0
E14000681,East Surrey,Claire Coutinho,Con,Conservative,2,0,0,1,0,0,1
E14000682,East Worthing and Shoreham,Tim Loughton,Con,Conservative,2,0,0,0,1,0,1
E14000683,East Yorkshire,Greg Knight,Con,Conservative,70,65,0,1,1,1,2
E14000684,Eastbourne,Caroline Ansell,Con,Conservative,7,1,0,6,0,0,0
E14000685,Eastleigh,Paul Holmes,Con,Conservative,1,1,0,0,0,0,0
E14000686,Eddisbury,Edward Timpson,Con,Conservative,7,4,0,2,0,0,1
E14000687,Edmonton,Kate Osamor,Lab,Labour,5,0,0,2,2,0,1
E14000688,Ellesmere Port and Neston,Justin Madders,Lab,Labour,4,1,0,2,0,0,1
E14000689,Elmet and Rothwell,Alec Shelbrooke,Con,Conservative,7,2,0,3,0,1,1
E14000690,Eltham,Clive Efford,Lab,Labour,4,0,0,3,0,0,1
E14000691,Enfield North,Feryal Clark,Lab,Labour,9,1,0,5,0,2,1
E14000692,"Enfield, Southgate",Bambos Charalambous,Lab,Labour,7,0,0,4,0,3,0
E14000693,Epping Forest,Eleanor Laing,Con,Conservative,7,2,0,2,3,0,0
E14000694,Epsom and Ewell,Chris Grayling,Con,Conservative,3,0,0,0,2,1,0
E14000695,Erewash,Maggie Throup,Con,Conservative,3,0,0,0,2,0,1
E14000696,Erith and Thamesmead,Abena Oppong-Asare,Lab,Labour,1,0,0,1,0,0,0
E14000697,Esher and Walton,Dominic Raab,Con,Conservative,2,0,0,2,0,0,0
E14000698,Exeter,Ben Bradshaw,Lab,Labour,3,1,0,0,0,0,2
E14000699,Fareham,Suella Braverman,Con,Conservative,2,0,0,2,0,0,0
E14000700,Faversham and Mid Kent,Helen Whately,Con,Conservative,9,2,0,4,0,0,3
E14000701,Feltham and Heston,Seema Malhotra,Lab,Labour,9,2,0,5,1,0,1
E14000702,Filton and Bradley Stoke,Jack Lopresti,Con,Conservative,2,1,0,0,0,1,0
E14000703,Finchley and Golders Green,Mike Freer,Con,Conservative,6,0,0,3,1,0,2
E14000704,Folkestone and Hythe,Damian Collins,Con,Conservative,13,4,0,7,0,0,2
E14000705,Forest of Dean,Mark Harper,Con,Conservative,16,8,0,4,0,0,4
E14000706,Fylde,Mark Menzies,Con,Conservative,0,0,0,0,0,0,0
E14000707,Gainsborough,Edward Leigh,Con,Conservative,26,8,0,6,4,0,8
E14000708,Garston and Halewood,Maria Eagle,Lab,Labour,1,0,0,1,0,0,0
E14000709,Gateshead,Ian Mearns,Lab,Labour,4,0,0,2,1,0,1
E14000710,Gedling,Tom Randall,Con,Conservative,1,0,0,0,0,0,1
E14000711,Gillingham and Rainham,Rehman Chishti,Con,Conservative,5,0,0,2,3,0,0
E14000712,Gloucester,Richard Graham,Con,Conservative,14,2,0,10,1,0,1
E14000713,Gosport,Caroline Dinenage,Con,Conservative,12,3,0,6,3,0,0
E14000714,Grantham and Stamford,Gareth Davies,Con,Conservative,19,6,0,6,1,1,5
E14000715,Gravesham,Adam Holloway,Con,Conservative,0,0,0,0,0,0,0
E14000716,Great Grimsby,Lia Nici,Con,Conservative,7,0,0,2,4,0,1
E14000717,Great Yarmouth,Brandon Lewis,Con,Conservative,17,1,0,5,4,0,7
E14000718,Greenwich and Woolwich,Matthew Pennycook,Lab,Labour,9,0,0,5,2,1,1
E14000719,Guildford,Angela Joy Richardson,Con,Conservative,2,0,0,0,0,0,2
E14000720,Hackney North and Stoke Newington,Diane Abbott,Lab,Labour,16,0,0,8,0,1,7
E14000721,Hackney South and Shoreditch,Meg Hillier,Lab,Labour,19,1,0,12,2,0,4
E14000722,Halesowen and Rowley Regis,James Morris,Con,Conservative,1,0,0,1,0,0,0
E14000723,Halifax,Holly Walker-Lynch,Lab,Labour,10,2,0,5,1,0,2
E14000724,Haltemprice and Howden,David Davis,Con,Conservative,8,5,0,1,0,1,1
E14000725,Halton,Derek Twigg,Lab,Labour,4,1,0,0,0,0,3
E14000726,Hammersmith,Andy Slaughter,Lab,Labour,11,0,0,9,1,1,0
E14000727,Hampstead and Kilburn,Tulip Siddiq,Lab,Labour,9,0,0,8,0,0,1
E14000728,Harborough,Neil O'Brien,Con,Conservative,3,0,0,0,0,0,3
E14000729,Harlow,Robert Halfon,Con,Conservative,4,1,0,0,2,1,0
E14000730,Harrogate and Knaresborough,Andrew Jones,Con,Conservative,2,0,1,1,0,0,0
E14000731,Harrow East,Bob Blackman,Con,Conservative,12,3,0,7,0,1,1
E14000732,Harrow West,Gareth Thomas,Lab,Labour,3,1,0,2,0,0,0
E14000733,Hartlepool,Jill Mortimer,Con,Conservative,8,2,0,0,4,0,2
E14000734,Harwich and North Essex,Bernard Jenkin,Con,Conservative,10,4,0,5,1,0,0
E14000735,Hastings and Rye,Sally-Ann Hart,Con,Conservative,16,0,0,9,1,0,6
E14000736,Havant,Alan Mak,Con,Conservative,2,0,0,0,1,0,1
E14000737,Hayes and Harlington,John McDonnell,Lab,Labour,24,0,0,17,6,0,1
E14000738,Hazel Grove,William Wragg,Con,Conservative,2,0,0,0,0,0,2
E14000739,Hemel Hempstead,Mike Penning,Con,Conservative,1,0,0,1,0,0,0
E14000740,Hemsworth,Jon Trickett,Lab,Labour,4,3,0,1,0,0,0
E14000741,Hendon,Matthew Offord,Con,Conservative,3,1,0,1,0,0,1
E14000742,Henley,John Howell,Con,Conservative,11,7,0,4,0,0,0
E14000743,Hereford and South Herefordshire,Jesse Norman,Con,Conservative,23,7,0,6,1,0,9
E14000744,Hertford and Stortford,Julie Marson,Con,Conservative,2,0,0,1,0,1,0
E14000745,Hertsmere,Oliver Dowden,Con,Conservative,0,0,0,0,0,0,0
E14000746,Hexham,Guy Opperman,Con,Conservative,36,24,0,9,1,0,2
E14000747,Heywood and Middleton,Chris Clarkson,Con,Conservative,9,0,0,3,2,0,4
E14000748,High Peak,Robert Largan,Con,Conservative,7,2,0,3,0,0,2
E14000749,Hitchin and Harpenden,Bim Afolami,Con,Conservative,2,0,0,2,0,0,0
E14000750,Holborn and St. Pancras,Keir Starmer,Lab,Labour,24,0,0,11,0,0,13
E14000751,Hornchurch and Upminster,Julia Lopez,Con,Conservative,8,2,0,6,0,0,0
E14000752,Hornsey and Wood Green,Catherine West,Lab,Labour,8,0,0,5,1,0,2
E14000753,Horsham,Jeremy Quin,Con,Conservative,5,2,0,2,1,0,0
E14000754,Houghton and Sunderland South,Bridget Phillipson,Lab,Labour,1,1,0,0,0,0,0
E14000755,Hove,Peter Kyle,Lab,Labour,5,0,0,1,2,0,2
E14000756,Huddersfield,Barry Sheerman,Lab,Labour,6,0,0,2,0,0,4
E14000757,Huntingdon,Jonathan Djanogly,Con,Conservative,3,0,0,1,0,0,2
E14000758,Hyndburn,Sara Britcliffe,Con,Conservative,5,0,0,2,0,0,3
E14000759,Ilford North,Wes Streeting,Lab,Labour,1,0,0,0,1,0,0
E14000760,Ilford South,Sam Tarry,Lab,Labour,3,0,0,1,2,0,0
E14000761,Ipswich,Tom Hunt,Con,Conservative,1,0,0,1,0,0,0
E14000762,Isle of Wight,Bob Seely,Con,Conservative,27,2,0,8,6,2,9
E14000763,Islington North,Jeremy Corbyn,Lab,Labour,5,0,0,2,2,0,1
E14000764,Islington South and Finsbury,Emily Thornberry,Lab,Labour,23,0,0,10,6,0,7
E14000765,Jarrow,Kate Osborne,Lab,Labour,5,0,0,1,2,0,2
E14000766,Keighley,Robbie Moore,Con,Conservative,5,0,0,2,1,1,1
E14000767,Kenilworth and Southam,Jeremy Wright,Con,Conservative,18,5,0,1,0,3,9
E14000768,Kensington,Felicity Buchan,Con,Conservative,35,0,0,29,1,1,4
E14000769,Kettering,Philip Hollobone,Con,Conservative,1,0,0,1,0,0,0
E14000770,Kingston and Surbiton,Ed Davey,LD,Liberal Democrat,6,0,0,3,2,0,1
E14000771,Kingston upon Hull East,Karl Turner,Lab,Labour,0,0,0,0,0,0,0
E14000772,Kingston upon Hull North,Diana Johnson,Lab,Labour,1,0,0,0,1,0,0
E14000773,Kingston upon Hull West and Hessle,Emma Hardy,Lab,Labour,2,0,0,0,2,0,0
E14000774,Kingswood,Damien Egan,Lab,Labour,4,1,0,1,2,0,0
E14000775,Knowsley,George Howarth,Lab,Labour,2,0,0,0,1,0,1
E14000776,Lancaster and Fleetwood,Cat Smith,Lab,Labour,7,2,0,3,1,0,1
E14000777,Leeds Central,Hilary Benn,Lab,Labour,8,0,0,5,2,0,1
E14000778,Leeds East,Richard Burgon,Lab,Labour,2,0,0,1,0,0,1
E14000779,Leeds North East,Fabian Hamilton,Lab,Labour,0,0,0,0,0,0,0
E14000780,Leeds North West,Alex Sobel,Lab,Labour,4,3,0,0,0,0,1
E14000781,Leeds West,Rachel Reeves,Lab,Labour,0,0,0,0,0,0,0
E14000782,Leicester East,Claudia Webbe,Lab,Labour,2,0,0,2,0,0,0
E14000783,Leicester South,Jon Ashworth,Lab,Labour,6,0,0,3,0,0,3
E14000784,Leicester West,Liz Kendall,Lab,Labour,2,0,0,1,0,0,1
E14000785,Leigh,James Grundy,Con,Conservative,4,0,0,2,2,0,0
E14000786,Lewes,Maria Caulfield,Con,Conservative,10,5,0,3,0,0,2
E14000787,Lewisham East,Janet Daby,Lab,Labour,11,0,0,11,0,0,0
E14000788,Lewisham West and Penge,Ellie Reeves,Lab,Labour,9,0,0,7,0,1,1
E14000789,"Lewisham, Deptford",Vicky Foxcroft,Lab,Labour,7,0,0,4,1,0,2
E14000790,Leyton and Wanstead,John Cryer,Lab,Labour,13,0,0,7,1,1,4
E14000791,Lichfield,Michael Fabricant,Con,Conservative,7,5,0,2,0,0,0
E14000792,Lincoln,Karl McCartney,Con,Conservative,13,1,0,2,6,0,4
E14000793,"Liverpool, Riverside",Kim Johnson,Lab,Labour,7,0,0,2,0,1,4
E14000794,"Liverpool, Walton",Dan Carden,Lab,Labour,4,0,0,0,0,1,3
E14000795,"Liverpool, Wavertree",Paula Barker,Lab,Labour,4,0,0,0,0,0,4
E14000796,"Liverpool, West Derby",Ian Byrne,Lab,Labour,0,0,0,0,0,0,0
E14000797,Loughborough,Jane Hunt,Con,Conservative,8,0,0,5,2,1,0
E14000798,Louth and Horncastle,Victoria Atkins,Con,Conservative,44,14,0,8,4,0,18
E14000799,Ludlow,Philip Dunne,Con,Conservative,48,21,0,11,0,0,16
E14000800,Luton North,Sarah Owen,Lab,Labour,0,0,0,0,0,0,0
E14000801,Luton South,Rachel Hopkins,Lab,Labour,3,0,0,0,3,0,0
E14000802,Macclesfield,David Rutley,Con,Conservative,5,2,0,0,0,0,3
E14000803,Maidenhead,Theresa May,Con,Conservative,5,3,0,1,1,0,0
E14000804,Maidstone and The Weald,Helen Grant,Con,Conservative,4,0,0,3,0,0,1
E14000805,Makerfield,Yvonne Fovargue,Lab,Labour,2,0,0,2,0,0,0
E14000806,Maldon,John Whittingdale,Con,Conservative,4,0,0,1,1,1,1
E14000807,Manchester Central,Lucy Powell,Lab,Labour,6,0,0,2,1,0,3
E14000808,"Manchester, Gorton",Afzal Khan,Lab,Labour,2,0,0,0,0,0,2
E14000809,"Manchester, Withington",Jeff Smith,Lab,Labour,4,0,0,0,0,0,4
E14000810,Mansfield,Ben Bradley,Con,Conservative,3,1,0,0,1,0,1
E14000811,Meon Valley,Flick Drummond,Con,Conservative,3,2,0,1,0,0,0
E14000812,Meriden,Saqib Bhatti,Con,Conservative,1,0,0,1,0,0,0
E14000813,Mid Bedfordshire,Alistair Strathern,Lab,Labour,9,2,0,1,0,1,5
E14000814,Mid Derbyshire,Pauline Latham,Con,Conservative,8,0,0,5,1,0,2
E14000815,Mid Dorset and North Poole,Michael Tomlinson,Con,Conservative,21,20,0,1,0,0,0
E14000816,Mid Norfolk,George Freeman,Con,Conservative,17,3,0,4,1,0,9
E14000817,Mid Sussex,Mims Davies,Con,Conservative,3,1,0,0,1,0,1
E14000818,Mid Worcestershire,Nigel Huddleston,Con,Conservative,17,4,0,4,0,1,8
E14000819,Middlesbrough,Andy McDonald,Lab,Labour,0,0,0,0,0,0,0
E14000820,Middlesbrough South and East Cleveland,Simon Clarke,Con,Conservative,7,4,0,1,1,1,0
E14000821,Milton Keynes North,Ben Everitt,Con,Conservative,5,3,0,0,1,0,1
E14000822,Milton Keynes South,Iain Stewart,Con,Conservative,0,0,0,0,0,0,0
E14000823,Mitcham and Morden,Siobhain McDonagh,Lab,Labour,8,1,0,7,0,0,0
E14000824,Mole Valley,Paul Beresford,Con,Conservative,8,2,0,4,0,1,1
E14000825,Morecambe and Lunesdale,David Morris,Con,Conservative,6,1,0,2,0,0,3
E14000826,Morley and Outwood,Andrea Jenkyns,Con,Conservative,3,1,1,1,0,0,0
E14000827,New Forest East,Julian Lewis,Con,Conservative,4,2,0,0,0,0,2
E14000828,New Forest West,Desmond Swayne,Con,Conservative,6,6,0,0,0,0,0
E14000829,Newark,Robert Jenrick,Con,Conservative,29,5,0,10,2,0,12
E14000830,Newbury,Laura Farris,Con,Conservative,12,3,0,4,0,3,2
E14000831,Newcastle upon Tyne Central,Chi Onwurah,Lab,Labour,8,0,0,3,0,2,3
E14000832,Newcastle upon Tyne East,Nick Brown,Lab,Labour,4,0,0,1,0,0,3
E14000833,Newcastle upon Tyne North,Catherine McKinnell,Lab,Labour,4,3,0,1,0,0,0
E14000834,Newcastle-under-Lyme,Aaron Bell,Con,Conservative,1,0,0,1,0,0,0
E14000835,Newton Abbot,Anne Marie Morris,Con,Conservative,8,3,0,2,0,2,1
E14000836,"Normanton, Pontefract and Castleford",Yvette Cooper,Lab,Labour,7,2,0,3,1,0,1
E14000837,North Cornwall,Scott Mann,Con,Conservative,56,37,0,9,1,0,9
E14000838,North Devon,Selaine Saxby,Con,Conservative,34,17,0,5,1,0,11
E14000839,North Dorset,Simon Hoare,Con,Conservative,62,56,0,5,0,0,1
E14000840,North Durham,Kevan Jones,Lab,Labour,3,0,0,2,1,0,0
E14000841,North East Bedfordshire,Richard Fuller,Con,Conservative,14,6,0,1,0,2,5
E14000842,North East Cambridgeshire,Steve Barclay,Con,Conservative,14,8,0,0,5,0,1
E14000843,North East Derbyshire,Lee Rowley,Con,Conservative,3,0,0,1,2,0,0
E14000844,North East Hampshire,Ranil Jayawardena,Con,Conservative,3,0,0,1,0,2,0
E14000845,North East Hertfordshire,Oliver Heald,Con,Conservative,13,5,0,3,0,1,4
E14000846,North East Somerset,Jacob Rees-Mogg,Con,Conservative,11,7,0,1,3,0,0
